,Full model,Dominant model,Significant terms
Lp_0.75_reg_0.005,0.421511046,0.421464012,15
Lp_1_reg_0.001,0.988626449,0.891182503,15
Lp_1_reg_0.005,0.823632218,0.77961595,15
Lp_0.75_reg_0.001,0.945005699,0.944983422,15
Lp_0.75_reg_5e-06,0.999827249,0.983027408,15
Lp_1_reg_0.0005,0.995706274,0.891888134,15
Lp_0.75_reg_5e-05,0.999604898,0.970528117,15
Lp_1_reg_5e-06,0.999903245,0.967607507,15
Lp_0.5_reg_1e-05,0.999798973,0.955888522,15
Lp_1_reg_0.0001,0.999600416,0.973428264,15
Lp_1_reg_5e-05,0.999777274,0.964732268,15
Lp_0.5_reg_1e-06,0.999825354,0.991314486,15
Lp_0.75_reg_1e-06,0.999903538,0.961057832,15
Lp_0.75_reg_1e-05,0.999829274,0.991951881,15
Lp_0.75_reg_0.0005,0.981413135,0.981416037,15
Lp_0.5_reg_5e-05,0.99057149,0.990552284,15
Lp_0.75_reg_0.0001,0.998970334,0.957701328,15
Lp_1_reg_1e-06,0.999942434,0.974263557,15
Lp_0.5_reg_5e-06,0.999873564,0.950258568,15
Lp_1_reg_1e-05,0.999819859,0.976350896,15
Lp_0.5_reg_0.0005,0.928814964,0.927908657,15
Lp_0.5_reg_0.001,0.528486051,0.362901359,15
Lp_0.5_reg_0.005,0.415285043,0.41506378,15
Lp_0.5_reg_0.0001,0.993359579,0.896314543,15